Q000001	Commissari di governo, prefetti e vice prefetti
Q000002	Segretari generali e responsabili del controllo e della gestione nella amministrazione pubblica
Q000003	Dirigenti di sindacati e altre organizzazioni a tutela di interessi economici e sociali
Q000004	Imprenditori e amministratori di grandi aziende
Q000005	Imprenditori e amministratori di grandi aziende che operano nell'agricoltura, nell'allevamento, nella silvicoltura, nella caccia e nella pesca
Q000006	Imprenditori e amministratori di grandi aziende che operano nell'estrazione dei minerali, nella manifattura, nella produzione e distribuzione di energia elettrica, gas e acqua e nella gestione dei rifiuti
Q000007	Imprenditori e amministratori di grandi aziende di costruzioni
Q000008	Imprenditori e amministratori di grandi aziende nel commercio
Q000009	Imprenditori e amministratori di grandi aziende nei servizi di alloggio e ristorazione
Q000010	Imprenditori e amministratori di grandi aziende nel settore dei trasporti e magazzinaggio
Q000011	Imprenditori e amministratori di grandi aziende nei servizi editoriali, di produzione cinematografica, radiofonica e televisiva
Q000012	Imprenditori e amministratori di grandi aziende nei servizi informatici e di telecomunicazione
Q000013	Imprenditori e amministratori di grandi banche, assicurazioni, agenzie immobiliari, di intermediazione finanziaria
Q000014	Imprenditori e amministratori di grandi aziende nei servizi alle imprese e alle persone
Q000015	Imprenditori e amministratori di grandi istituti scolastici, universitari e di ricerca privati
Q000016	Imprenditori e amministratori di grandi ospedali, cliniche private o grandi aziende di assistenza sociale
Q000017	Imprenditori e amministratori di grandi aziende nel settore delle attività sportive, ricreative, di intrattenimento e di divertimento
Q000018	Direttori e dirigenti generali di aziende che operano nell'agricoltura, nell'allevamento, nella silvicoltura, nella caccia e nella pesca
Q000019	Direttori e dirigenti generali di aziende che operano nella manifattura, nell'estrazione dei minerali, nella produzione e distribuzione di energia elettrica, gas, acqua e nelle attività di gestione dei rifiuti
Q000020	Direttori e dirigenti generali di aziende nelle costruzioni
Q000021	Direttori e dirigenti generali di aziende nel commercio
Q000022	Direttori e dirigenti generali di aziende nei servizi editoriali, di produzione cinematografica, radiofonica e televisiva
Q000023	Direttori e dirigenti generali di banche, assicurazioni, agenzie immobiliari e di intermediazione finanziaria
Q000024	Direttori e dirigenti del dipartimento finanza ed amministrazione
Q000025	Imprenditori e responsabili di piccole aziende che operano nell'agricoltura, nell'allevamento, nella silvicoltura, nella caccia e nella pesca
Q000026	Imprenditori e responsabili di piccole aziende che operano nell'estrazione di minerali, nella manifattura, nella produzione e distribuzione di energia elettrica, gas e acqua e nelle attività di gestione dei rifiuti
Q000027	Imprenditori e responsabili di piccole aziende nelle costruzioni
Q000028	Imprenditori e responsabili di piccole aziende nel commercio
Q000029	Imprenditori e responsabili di piccoli alberghi, alloggi o aree di campeggio e di piccoli esercizi di ristorazione
Q000030	Imprenditori e responsabili di piccole aziende nei trasporti e magazzinaggio
Q000031	Imprenditori e responsabili di piccole aziende nei servizi editoriali, di produzione cinematografica, radiofonica e televisiva
Q000032	Imprenditori e responsabili di piccole aziende nei servizi informatici e di telecomunicazione
Q000033	Imprenditori e responsabili di piccoli istituti di credito e di intermediazione finanziaria, assicurativa e immobiliare
Q000034	Imprenditori e responsabili di piccole aziende nei servizi alle imprese e alle persone
Q000035	Imprenditori e responsabili di piccole aziende nei servizi di sanità e assistenza sociale
Q000036	Imprenditori e responsabili di piccole aziende nel settore delle attività sportive, ricreative, di intrattenimento e divertimento
Q000037	Fisici
Q000038	Chimici informatori e divulgatori
Q000039	Matematici
Q000040	Statistici
Q000041	Specialisti in reti e comunicazioni informatiche
Q000042	Geologi
Q000043	Paleontologi
Q000044	Geofisici
Q000045	Meteorologi
Q000046	Idrologi
Q000047	Ingegneri meccanici
Q000048	Ingegneri navali
Q000049	Ingegneri metallurgici
Q000050	Ingegneri elettronici
Q000051	Ingegneri in telecomunicazioni
Q000052	Ingegneri dei materiali
Q000053	Ingegneri edili e ambientali
Q000054	Ingegneri idraulici
Q000055	Ingegneri industriali e gestionali
Q000056	Architetti
Q000057	Biochimici
Q000058	Biofisici
Q000059	Botanici
Q000060	Zoologi
Q000061	Ecologi
Q000062	Farmacologi
Q000063	Microbiologi
Q000064	Veterinari
Q000065	Farmacisti
Q000066	Medici generici
Q000067	Specialisti in terapie chirurgiche
Q000068	Laboratoristi e patologi clinici
Q000069	Specialisti in diagnostica per immagini e radioterapia
Q000070	Specialisti in medicina sociale e del lavoro
Q000071	Epidemiologi
Q000072	Specialisti dell’organizzazione del lavoro
Q000073	Avvocati
Q000074	Esperi legali in enti pubblici
Q000075	Notai
Q000076	Magistrati
Q000077	Antropologi
Q000078	Geografi
Q000079	Archeologi
Q000080	Psicologi clinici e psicoterapeuti
Q000081	Psicologi dello sviluppo e dell’educazione
Q000082	Psicologi del lavoro e delle organizzazioni
Q000083	Storici
Q000084	Specialisti in scienza politica
Q000085	Filosofi
Q000086	Giornalisti
Q000087	Interpreti e traduttori di livello elevato
Q000088	Revisori di testi
Q000089	Archivisti
Q000090	Bibliotecari
Q000091	Curatori e conservatori di musei
Q000092	Pittori e scultori
Q000093	Disegnatori di moda
Q000094	Restauratori di beni culturali
Q000095	Registi
Q000096	Attori
Q000097	Direttori artistici
Q000098	Sceneggiatori
Q000099	Scenografi
